"k","2k+1","nu_p(D)","nu_p(N)","Diff"
1,3,0,0,0
3,7,1,0,1
10,21,2,1,1
17,35,3,2,1
24,49,5,4,1
31,63,6,5,1
38,77,7,6,1
45,91,8,7,1
52,105,9,8,1
59,119,10,9,1
66,133,11,10,1
73,147,13,12,1
80,161,14,13,1
87,175,15,14,1
94,189,16,15,1
101,203,17,16,1
108,217,18,17,1
115,231,19,18,1
122,245,21,20,1
129,259,22,21,1
136,273,23,22,1
143,287,24,23,1
150,301,25,24,1
157,315,26,25,1
164,329,27,26,1
171,343,30,29,1
178,357,31,30,1
185,371,32,31,1
192,385,33,32,1
199,399,34,33,1
206,413,35,34,1
213,427,36,35,1
220,441,38,37,1
227,455,39,38,1
234,469,40,39,1
241,483,41,40,1
248,497,42,41,1
255,511,43,42,1
262,525,44,43,1
269,539,46,45,1
276,553,47,46,1
283,567,48,47,1
290,581,49,48,1
297,595,50,49,1
304,609,51,50,1
311,623,52,51,1
318,637,54,53,1
325,651,55,54,1
332,665,56,55,1
339,679,57,56,1
346,693,58,57,1
353,707,59,58,1
360,721,60,59,1
367,735,62,61,1
374,749,63,62,1
381,763,64,63,1
388,777,65,64,1
395,791,66,65,1
402,805,67,66,1
409,819,68,67,1
416,833,70,69,1
423,847,71,70,1
430,861,72,71,1
437,875,73,72,1
444,889,74,73,1
451,903,75,74,1
458,917,76,75,1
465,931,78,77,1
472,945,79,78,1
479,959,80,79,1
486,973,81,80,1
493,987,82,81,1
500,1001,83,82,1
507,1015,84,83,1
514,1029,87,86,1
521,1043,88,87,1
528,1057,89,88,1
535,1071,90,89,1
542,1085,91,90,1
549,1099,92,91,1
556,1113,93,92,1
563,1127,95,94,1
570,1141,96,95,1
577,1155,97,96,1
584,1169,98,97,1
591,1183,99,98,1
598,1197,100,99,1
605,1211,101,100,1
612,1225,103,102,1
619,1239,104,103,1
626,1253,105,104,1
633,1267,106,105,1
640,1281,107,106,1
647,1295,108,107,1
654,1309,109,108,1
661,1323,111,110,1
668,1337,112,111,1
675,1351,113,112,1
682,1365,114,113,1
689,1379,115,114,1
696,1393,116,115,1
703,1407,117,116,1
710,1421,119,118,1
717,1435,120,119,1
724,1449,121,120,1
731,1463,122,121,1
738,1477,123,122,1
745,1491,124,123,1
752,1505,125,124,1
759,1519,127,126,1
766,1533,128,127,1
773,1547,129,128,1
780,1561,130,129,1
787,1575,131,130,1
794,1589,132,131,1
801,1603,133,132,1
808,1617,135,134,1
815,1631,136,135,1
822,1645,137,136,1
829,1659,138,137,1
836,1673,139,138,1
843,1687,140,139,1
850,1701,141,140,1
857,1715,144,143,1
864,1729,145,144,1
871,1743,146,145,1
878,1757,147,146,1
885,1771,148,147,1
892,1785,149,148,1
899,1799,150,149,1
906,1813,152,151,1
913,1827,153,152,1
920,1841,154,153,1
927,1855,155,154,1
934,1869,156,155,1
941,1883,157,156,1
948,1897,158,157,1
955,1911,160,159,1
962,1925,161,160,1
969,1939,162,161,1
976,1953,163,162,1
983,1967,164,163,1
990,1981,165,164,1
997,1995,166,165,1
