"k","2k+1","nu_p(D)","nu_p(N)","Diff"
1,3,0,0,0
2,5,1,0,1
7,15,2,1,1
12,25,4,3,1
17,35,5,4,1
22,45,6,5,1
27,55,7,6,1
32,65,8,7,1
37,75,10,9,1
42,85,11,10,1
47,95,12,11,1
52,105,13,12,1
57,115,14,13,1
62,125,17,16,1
67,135,18,17,1
72,145,19,18,1
77,155,20,19,1
82,165,21,20,1
87,175,23,22,1
92,185,24,23,1
97,195,25,24,1
102,205,26,25,1
107,215,27,26,1
112,225,29,28,1
117,235,30,29,1
122,245,31,30,1
127,255,32,31,1
132,265,33,32,1
137,275,35,34,1
142,285,36,35,1
147,295,37,36,1
152,305,38,37,1
157,315,39,38,1
162,325,41,40,1
167,335,42,41,1
172,345,43,42,1
177,355,44,43,1
182,365,45,44,1
187,375,48,47,1
192,385,49,48,1
197,395,50,49,1
202,405,51,50,1
207,415,52,51,1
212,425,54,53,1
217,435,55,54,1
222,445,56,55,1
227,455,57,56,1
232,465,58,57,1
237,475,60,59,1
242,485,61,60,1
247,495,62,61,1
252,505,63,62,1
257,515,64,63,1
262,525,66,65,1
267,535,67,66,1
272,545,68,67,1
277,555,69,68,1
282,565,70,69,1
287,575,72,71,1
292,585,73,72,1
297,595,74,73,1
302,605,75,74,1
307,615,76,75,1
312,625,80,79,1
317,635,81,80,1
322,645,82,81,1
327,655,83,82,1
332,665,84,83,1
337,675,86,85,1
342,685,87,86,1
347,695,88,87,1
352,705,89,88,1
357,715,90,89,1
362,725,92,91,1
367,735,93,92,1
372,745,94,93,1
377,755,95,94,1
382,765,96,95,1
387,775,98,97,1
392,785,99,98,1
397,795,100,99,1
402,805,101,100,1
407,815,102,101,1
412,825,104,103,1
417,835,105,104,1
422,845,106,105,1
427,855,107,106,1
432,865,108,107,1
437,875,111,110,1
442,885,112,111,1
447,895,113,112,1
452,905,114,113,1
457,915,115,114,1
462,925,117,116,1
467,935,118,117,1
472,945,119,118,1
477,955,120,119,1
482,965,121,120,1
487,975,123,122,1
492,985,124,123,1
497,995,125,124,1
502,1005,126,125,1
507,1015,127,126,1
512,1025,129,128,1
517,1035,130,129,1
522,1045,131,130,1
527,1055,132,131,1
532,1065,133,132,1
537,1075,135,134,1
542,1085,136,135,1
547,1095,137,136,1
552,1105,138,137,1
557,1115,139,138,1
562,1125,142,141,1
567,1135,143,142,1
572,1145,144,143,1
577,1155,145,144,1
582,1165,146,145,1
587,1175,148,147,1
592,1185,149,148,1
597,1195,150,149,1
602,1205,151,150,1
607,1215,152,151,1
612,1225,154,153,1
617,1235,155,154,1
622,1245,156,155,1
627,1255,157,156,1
632,1265,158,157,1
637,1275,160,159,1
642,1285,161,160,1
647,1295,162,161,1
652,1305,163,162,1
657,1315,164,163,1
662,1325,166,165,1
667,1335,167,166,1
672,1345,168,167,1
677,1355,169,168,1
682,1365,170,169,1
687,1375,173,172,1
692,1385,174,173,1
697,1395,175,174,1
702,1405,176,175,1
707,1415,177,176,1
712,1425,179,178,1
717,1435,180,179,1
722,1445,181,180,1
727,1455,182,181,1
732,1465,183,182,1
737,1475,185,184,1
742,1485,186,185,1
747,1495,187,186,1
752,1505,188,187,1
757,1515,189,188,1
762,1525,191,190,1
767,1535,192,191,1
772,1545,193,192,1
777,1555,194,193,1
782,1565,195,194,1
787,1575,197,196,1
792,1585,198,197,1
797,1595,199,198,1
802,1605,200,199,1
807,1615,201,200,1
812,1625,204,203,1
817,1635,205,204,1
822,1645,206,205,1
827,1655,207,206,1
832,1665,208,207,1
837,1675,210,209,1
842,1685,211,210,1
847,1695,212,211,1
852,1705,213,212,1
857,1715,214,213,1
862,1725,216,215,1
867,1735,217,216,1
872,1745,218,217,1
877,1755,219,218,1
882,1765,220,219,1
887,1775,222,221,1
892,1785,223,222,1
897,1795,224,223,1
902,1805,225,224,1
907,1815,226,225,1
912,1825,228,227,1
917,1835,229,228,1
922,1845,230,229,1
927,1855,231,230,1
932,1865,232,231,1
937,1875,236,235,1
942,1885,237,236,1
947,1895,238,237,1
952,1905,239,238,1
957,1915,240,239,1
962,1925,242,241,1
967,1935,243,242,1
972,1945,244,243,1
977,1955,245,244,1
982,1965,246,245,1
987,1975,248,247,1
992,1985,249,248,1
997,1995,250,249,1
