"k","2k+1","nu_p(D)","nu_p(N)","Diff"
1,3,1,0,1
4,9,3,2,1
7,15,4,3,1
10,21,5,4,1
13,27,8,7,1
16,33,9,8,1
19,39,10,9,1
22,45,12,11,1
25,51,13,12,1
28,57,14,13,1
31,63,16,15,1
34,69,17,16,1
37,75,18,17,1
40,81,22,21,1
43,87,23,22,1
46,93,24,23,1
49,99,26,25,1
52,105,27,26,1
55,111,28,27,1
58,117,30,29,1
61,123,31,30,1
64,129,32,31,1
67,135,35,34,1
70,141,36,35,1
73,147,37,36,1
76,153,39,38,1
79,159,40,39,1
82,165,41,40,1
85,171,43,42,1
88,177,44,43,1
91,183,45,44,1
94,189,48,47,1
97,195,49,48,1
100,201,50,49,1
103,207,52,51,1
106,213,53,52,1
109,219,54,53,1
112,225,56,55,1
115,231,57,56,1
118,237,58,57,1
121,243,63,62,1
124,249,64,63,1
127,255,65,64,1
130,261,67,66,1
133,267,68,67,1
136,273,69,68,1
139,279,71,70,1
142,285,72,71,1
145,291,73,72,1
148,297,76,75,1
151,303,77,76,1
154,309,78,77,1
157,315,80,79,1
160,321,81,80,1
163,327,82,81,1
166,333,84,83,1
169,339,85,84,1
172,345,86,85,1
175,351,89,88,1
178,357,90,89,1
181,363,91,90,1
184,369,93,92,1
187,375,94,93,1
190,381,95,94,1
193,387,97,96,1
196,393,98,97,1
199,399,99,98,1
202,405,103,102,1
205,411,104,103,1
208,417,105,104,1
211,423,107,106,1
214,429,108,107,1
217,435,109,108,1
220,441,111,110,1
223,447,112,111,1
226,453,113,112,1
229,459,116,115,1
232,465,117,116,1
235,471,118,117,1
238,477,120,119,1
241,483,121,120,1
244,489,122,121,1
247,495,124,123,1
250,501,125,124,1
253,507,126,125,1
256,513,129,128,1
259,519,130,129,1
262,525,131,130,1
265,531,133,132,1
268,537,134,133,1
271,543,135,134,1
274,549,137,136,1
277,555,138,137,1
280,561,139,138,1
283,567,143,142,1
286,573,144,143,1
289,579,145,144,1
292,585,147,146,1
295,591,148,147,1
298,597,149,148,1
