"k","2k+1","nu_p(D)","nu_p(N)","Diff"
301,603,151,150,1
304,609,152,151,1
307,615,153,152,1
310,621,156,155,1
313,627,157,156,1
316,633,158,157,1
319,639,160,159,1
322,645,161,160,1
325,651,162,161,1
328,657,164,163,1
331,663,165,164,1
334,669,166,165,1
337,675,169,168,1
340,681,170,169,1
343,687,171,170,1
346,693,173,172,1
349,699,174,173,1
352,705,175,174,1
355,711,177,176,1
358,717,178,177,1
361,723,179,178,1
364,729,185,184,1
367,735,186,185,1
370,741,187,186,1
373,747,189,188,1
376,753,190,189,1
379,759,191,190,1
382,765,193,192,1
385,771,194,193,1
388,777,195,194,1
391,783,198,197,1
394,789,199,198,1
397,795,200,199,1
400,801,202,201,1
403,807,203,202,1
406,813,204,203,1
409,819,206,205,1
412,825,207,206,1
415,831,208,207,1
418,837,211,210,1
421,843,212,211,1
424,849,213,212,1
427,855,215,214,1
430,861,216,215,1
433,867,217,216,1
436,873,219,218,1
439,879,220,219,1
442,885,221,220,1
445,891,225,224,1
448,897,226,225,1
451,903,227,226,1
454,909,229,228,1
457,915,230,229,1
460,921,231,230,1
463,927,233,232,1
466,933,234,233,1
469,939,235,234,1
472,945,238,237,1
475,951,239,238,1
478,957,240,239,1
481,963,242,241,1
484,969,243,242,1
487,975,244,243,1
490,981,246,245,1
493,987,247,246,1
496,993,248,247,1
499,999,251,250,1
502,1005,252,251,1
505,1011,253,252,1
508,1017,255,254,1
511,1023,256,255,1
514,1029,257,256,1
517,1035,259,258,1
520,1041,260,259,1
523,1047,261,260,1
526,1053,265,264,1
529,1059,266,265,1
532,1065,267,266,1
535,1071,269,268,1
538,1077,270,269,1
541,1083,271,270,1
544,1089,273,272,1
547,1095,274,273,1
550,1101,275,274,1
553,1107,278,277,1
556,1113,279,278,1
559,1119,280,279,1
562,1125,282,281,1
565,1131,283,282,1
568,1137,284,283,1
571,1143,286,285,1
574,1149,287,286,1
577,1155,288,287,1
580,1161,291,290,1
583,1167,292,291,1
586,1173,293,292,1
589,1179,295,294,1
592,1185,296,295,1
595,1191,297,296,1
598,1197,299,298,1
601,1203,300,299,1
604,1209,301,300,1
607,1215,306,305,1
610,1221,307,306,1
613,1227,308,307,1
616,1233,310,309,1
619,1239,311,310,1
622,1245,312,311,1
625,1251,314,313,1
628,1257,315,314,1
631,1263,316,315,1
634,1269,319,318,1
637,1275,320,319,1
640,1281,321,320,1
643,1287,323,322,1
646,1293,324,323,1
649,1299,325,324,1
652,1305,327,326,1
655,1311,328,327,1
658,1317,329,328,1
661,1323,332,331,1
664,1329,333,332,1
667,1335,334,333,1
670,1341,336,335,1
673,1347,337,336,1
676,1353,338,337,1
679,1359,340,339,1
682,1365,341,340,1
685,1371,342,341,1
688,1377,346,345,1
691,1383,347,346,1
694,1389,348,347,1
697,1395,350,349,1
700,1401,351,350,1
703,1407,352,351,1
706,1413,354,353,1
709,1419,355,354,1
712,1425,356,355,1
715,1431,359,358,1
718,1437,360,359,1
721,1443,361,360,1
724,1449,363,362,1
727,1455,364,363,1
730,1461,365,364,1
733,1467,367,366,1
736,1473,368,367,1
739,1479,369,368,1
742,1485,372,371,1
745,1491,373,372,1
748,1497,374,373,1
751,1503,376,375,1
754,1509,377,376,1
757,1515,378,377,1
760,1521,380,379,1
763,1527,381,380,1
766,1533,382,381,1
769,1539,386,385,1
772,1545,387,386,1
775,1551,388,387,1
778,1557,390,389,1
781,1563,391,390,1
784,1569,392,391,1
787,1575,394,393,1
790,1581,395,394,1
793,1587,396,395,1
796,1593,399,398,1
799,1599,400,399,1
802,1605,401,400,1
805,1611,403,402,1
808,1617,404,403,1
811,1623,405,404,1
814,1629,407,406,1
817,1635,408,407,1
820,1641,409,408,1
823,1647,412,411,1
826,1653,413,412,1
829,1659,414,413,1
832,1665,416,415,1
835,1671,417,416,1
838,1677,418,417,1
841,1683,420,419,1
844,1689,421,420,1
847,1695,422,421,1
850,1701,427,426,1
853,1707,428,427,1
856,1713,429,428,1
859,1719,431,430,1
862,1725,432,431,1
865,1731,433,432,1
868,1737,435,434,1
871,1743,436,435,1
874,1749,437,436,1
877,1755,440,439,1
880,1761,441,440,1
883,1767,442,441,1
886,1773,444,443,1
889,1779,445,444,1
892,1785,446,445,1
895,1791,448,447,1
898,1797,449,448,1
901,1803,450,449,1
904,1809,453,452,1
907,1815,454,453,1
910,1821,455,454,1
913,1827,457,456,1
916,1833,458,457,1
919,1839,459,458,1
922,1845,461,460,1
925,1851,462,461,1
928,1857,463,462,1
931,1863,467,466,1
934,1869,468,467,1
937,1875,469,468,1
940,1881,471,470,1
943,1887,472,471,1
946,1893,473,472,1
949,1899,475,474,1
952,1905,476,475,1
955,1911,477,476,1
958,1917,480,479,1
961,1923,481,480,1
964,1929,482,481,1
967,1935,484,483,1
970,1941,485,484,1
973,1947,486,485,1
976,1953,488,487,1
979,1959,489,488,1
982,1965,490,489,1
985,1971,493,492,1
988,1977,494,493,1
991,1983,495,494,1
994,1989,497,496,1
997,1995,498,497,1
1000,2001,499,498,1
