"n","k_babylon","m1","m2","babylon_log10_error","nested_log10_error","deviation"
3,1,2,0,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","3.79740604967638202792060478025672357434447396288269060218026213532626420472512989854071382052228"
3,1,2,1,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","0.e-95"
3,1,2,2,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-35.525461796087376505357204540518388624442834288873385423856817214","32.029085742074975672650338654986158076866550207452803362986982539"
3,1,2,3,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
3,1,2,4,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
3,1,2,5,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
3,1,3,0,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","3.79740604967638202792060478025672357434447396288269060218026213532626420472512989854071382052228"
3,1,3,1,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-4.6402925722221080045730668939999071193156630557219013870067157747750077471677841409313584145719","1.1439165182097071718662010084676765717393789743013193261368811005758517317170787518775718461678"
3,1,3,2,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-56.1155735072883147552145415467060392425684952","52.6191974532759139225076756611738086949922111"
3,1,3,3,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
3,1,3,4,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
3,1,3,5,"-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","-DirectedInfinity-","-DirectedInfinity-"
3,2,1,0,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","8.3730095095368341219168061930368645267325368950846416342385584033595885688825027549265388475"
3,2,1,1,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-2.3521825181113624841625780170612445648638779654571746470388763583562419270184732271120822070588603","5.7197969957614904425404892812511269351004690481653584458892545838762384525896050183275293883"
3,2,1,2,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-19.5109304651533134221325992702841673622741750468570455049470061943512686751613017","11.4389509512804604954295319719717958623098280332345124120188752521187882955532234"
3,2,1,3,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,2,1,4,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,2,1,5,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,2,2,0,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","8.3730095095368341219168061930368645267325368950846416342385584033595885688825027549265388475"
3,2,2,1,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","4.5756034598604520939962014127801409523880629322019510320582962680333243641573728563858250269"
3,2,2,2,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-35.525461796087376505357204540518388624442834288873385423856817214","27.453482282214523578654137242206017124478487275250852330928686271"
3,2,2,3,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,2,2,4,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,2,2,5,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,2,3,0,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","8.3730095095368341219168061930368645267325368950846416342385584033595885688825027549265388475"
3,2,3,1,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-4.6402925722221080045730668939999071193156630557219013870067157747750077471677841409313584145719","3.4316869416507449221300004043124643806486839579006317059214151674574726324402941045082531808"
3,2,3,2,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-56.1155735072883147552145415467060392425684952","48.0435939934154618285114742483936677426041482"
3,2,3,3,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,2,3,4,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,2,3,5,"-8.0719795138728529267030672983123714999643470136225330929281309422324803796080782454396115953","-DirectedInfinity-","-DirectedInfinity-"
3,3,1,0,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","17.5241702706838570335980834436345834676888044105872039261098208638174639749772399723"
3,3,1,1,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-2.3521825181113624841625780170612445648638779654571746470388763583562419270184732271120822070588603","14.8709577569085133542217665318488458760567365636679207377605170443341138586843422357"
3,3,1,2,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-19.5109304651533134221325992702841673622741750468570455049470061943512686751613017","2.2877901901334375837482547213740769213535605177319501201476127916609128894584862"
3,3,1,3,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,3,1,4,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,3,1,5,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,3,2,0,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","17.5241702706838570335980834436345834676888044105872039261098208638174639749772399723"
3,3,2,1,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","13.7267642210074750056774786633778598933443304477045133239295587284911997702521100738"
3,3,2,2,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-35.525461796087376505357204540518388624442834288873385423856817214","18.302321521067500666972859991608298183522219759748290039057423811"
3,3,2,3,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,3,2,4,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,3,2,5,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,3,3,0,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","17.5241702706838570335980834436345834676888044105872039261098208638174639749772399723"
3,3,3,1,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-4.6402925722221080045730668939999071193156630557219013870067157747750077471677841409313584145719","12.5828477027977678338112776549101833216049514734031939977926776279153480385350313219"
3,3,3,2,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-56.1155735072883147552145415467060392425684952","38.8924332322684389168301969977959488016478807"
3,3,3,3,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,3,3,4,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,3,3,5,"-17.2231402750198758383843445489100904409206145291250953847993934026903557857028154628","-DirectedInfinity-","-DirectedInfinity-"
3,4,1,0,"-35.525461796087376505357204540518388624442834288873385423856817214","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","35.826491791751357700570943435242881651211024170335493965167244675"
3,4,1,1,"-35.525461796087376505357204540518388624442834288873385423856817214","-2.3521825181113624841625780170612445648638779654571746470388763583562419270184732271120822070588603","33.173279277976014021194626523457144059578956323416210776817940855"
3,4,1,2,"-35.525461796087376505357204540518388624442834288873385423856817214","-19.5109304651533134221325992702841673622741750468570455049470061943512686751613017","16.014531330934063083224605270234221262168659242016339918909811019"
3,4,1,3,"-35.525461796087376505357204540518388624442834288873385423856817214","-DirectedInfinity-","-DirectedInfinity-"
3,4,1,4,"-35.525461796087376505357204540518388624442834288873385423856817214","-DirectedInfinity-","-DirectedInfinity-"
3,4,1,5,"-35.525461796087376505357204540518388624442834288873385423856817214","-DirectedInfinity-","-DirectedInfinity-"
3,4,2,0,"-35.525461796087376505357204540518388624442834288873385423856817214","0.301029995663981195213738894724493026768189881462108541310427461127108189274424509486927252118186172","35.826491791751357700570943435242881651211024170335493965167244675"
3,4,2,1,"-35.525461796087376505357204540518388624442834288873385423856817214","-3.49637605401240083270686588553223054757628408142058206086983467419915601545070538905378656840409","32.029085742074975672650338654986158076866550207452803362986982539"
3,4,2,2,"-35.525461796087376505357204540518388624442834288873385423856817214","-35.525461796087376505357204540518388624442834288873385423856817214","0.e-63"
